PDB Name,Start Time,End Time,Elapsed Time (min),exhaustiveness,buffer_size
1z9g,2024-01-23 09:55:34.074058,2024-01-23 09:55:34.103695,0.00049395,50,10
2v00,2024-01-23 09:55:34.074519,2024-01-23 09:55:34.104429,0.0004985,50,10
1a30,2024-01-23 09:55:34.072609,2024-01-23 09:55:34.103696,0.0005181166666666666,50,10
1p1n,2024-01-23 09:55:34.072969,2024-01-23 09:55:34.103695,0.0005121,50,10
2xys,2024-01-23 09:55:34.109240,2024-01-23 09:55:34.114884,9.406666666666666e-05,50,10
1a30,2024-01-23 09:58:45.354595,2024-01-23 09:58:45.360803,0.00010346666666666667,50,10
1z9g,2024-01-23 09:58:45.355847,2024-01-23 09:58:45.361373,9.209999999999999e-05,50,10
2v00,2024-01-23 09:58:45.357042,2024-01-23 09:58:45.363678,0.0001106,50,10
1p1n,2024-01-23 09:58:45.355518,2024-01-23 09:58:45.368170,0.00021086666666666668,50,10
2xys,2024-01-23 09:58:45.368462,2024-01-23 09:58:45.374287,9.708333333333334e-05,50,10
1z9g,2024-01-23 10:02:12.096258,2024-01-23 10:02:12.101976,9.53e-05,50,10
1p1n,2024-01-23 10:02:12.095988,2024-01-23 10:02:12.101770,9.636666666666666e-05,50,10
1a30,2024-01-23 10:02:12.095517,2024-01-23 10:02:12.102563,0.00011743333333333333,50,10
2v00,2024-01-23 10:02:12.096936,2024-01-23 10:02:12.103323,0.00010645,50,10
2xys,2024-01-23 10:02:12.106799,2024-01-23 10:02:12.112176,8.961666666666666e-05,50,10
